is_retweet,created_at,text
True,Mon Dec 18 18:51:37 +0000 2017,"RT @realDonaldTrump: My thoughts and prayers are with everyone involved in the train accident in DuPont, Washington. Thank you to all of ou…"
True,Sat Dec 16 20:32:06 +0000 2017,RT @realDonaldTrump: WEEKLY ADDRESS🇺🇸 https://t.co/1sH20Hb33x
True,Thu Dec 07 21:56:42 +0000 2017,"RT @WhiteHouse: President Trump proclaims December 7, 2017, as National Pearl Harbor Remembrance Day: https://t.co/V3CbZBSwYm https://t.co/…"
True,Thu Dec 14 21:04:00 +0000 2017,RT @GOPLeader: The House will vote on the Tax Cuts and Jobs Act next week. https://t.co/Fc0PlySsre
True,Fri Dec 01 21:31:52 +0000 2017,RT @Scavino45: Did you miss @POTUS @realDonaldTrump &amp; @FLOTUS Melania light the National Christmas Tree🎄last night? We’ve got you covered v…
True,Tue Dec 19 00:57:14 +0000 2017,"RT @realDonaldTrump: Together, our task is to strengthen our families, to build up our communities, to serve our citizens, and to celebrate…"
True,Sat Dec 16 05:46:50 +0000 2017,RT @AP_Politics: Melania Trump says she hopes the giving spirit that Americans displayed during a season of devastating hurricanes will con…
True,Fri Dec 15 22:56:48 +0000 2017,"RT @GOPLeader: The House and Senate have agreed to a unified tax plan, and we’ll deliver it to the President’s desk just in time for Christ…"
True,Fri Dec 08 23:35:24 +0000 2017,"RT @realDonaldTrump: On my way to Pensacola, Florida. See everyone soon! #MAGA https://t.co/ijwxVSYQ52"
True,Fri Dec 08 19:09:44 +0000 2017,"RT @realDonaldTrump: “The unemployment rate remains at a 17-year low of 4.1%. The unemployment rate in manufacturing dropped to 2.6%, the l…"
True,Sun Dec 10 20:42:23 +0000 2017,"RT @FLOTUS: The effects of the hurricane season are still being felt &amp; residents still need our help. As Christmas &amp; the New Year approach,…"
True,Fri Dec 08 05:40:36 +0000 2017,"RT @realDonaldTrump: Tonight, @FLOTUS Melania and I were thrilled to welcome so many wonderful friends to the @WhiteHouse – and wish them a…"
True,Thu Dec 07 16:16:40 +0000 2017,"RT @realDonaldTrump: Today, our entire nation pauses to REMEMBER PEARL HARBOR—and the brave warriors who on that day stood tall and fought…"
True,Mon Dec 18 19:35:52 +0000 2017,RT @realDonaldTrump: Our deepest sympathies and most heartfelt prayers are with the victims of the train derailment in Washington State. We…
True,Thu Dec 07 21:19:58 +0000 2017,"RT @realDonaldTrump: Today, as we Remember Pearl Harbor, it was an incredible honor to be joined with surviving Veterans of the attack on 1…"
True,Sat Dec 16 20:32:04 +0000 2017,"RT @realDonaldTrump: TAX CUTS will increase investment in the American economy and in U.S. workers, leading to higher growth, higher wages,…"
True,Sat Dec 02 07:49:24 +0000 2017,RT @realDonaldTrump: We are one step closer to delivering MASSIVE tax cuts for working families across America. Special thanks to @SenateMa…
True,Mon Dec 18 21:17:05 +0000 2017,"RT @realDonaldTrump: Over the past 11 months, I have travelled tens of thousands of miles, to visit 13 countries. I have met with more than…"
True,Sun Dec 17 17:02:51 +0000 2017,"RT @realDonaldTrump: As a candidate, I promised we would pass a massive TAX CUT for the everyday working American families who are the back…"
True,Fri Dec 01 01:01:09 +0000 2017,"RT @Scavino45: .@POTUS @realDonaldTrump and @FLOTUS Melania countdown for the lighting of the #NationalChristmasTree at the @WhiteHouse.

#…"
True,Sun Dec 10 20:42:22 +0000 2017,RT @FLOTUS: Beautiful morning @WhiteHouse #Christmas. First #snowday2017 https://t.co/m2YGh4e18M
True,Thu Dec 07 21:56:56 +0000 2017,RT @VP: Great meeting with @DeptofDefense Secretary Mattis at the Pentagon &amp; enjoyed seeing members of the @NavalAcademy Band who are getti…
True,Sat Dec 16 05:46:55 +0000 2017,"RT @FLOTUS: Merry Christmas from President Donald J. Trump and First Lady Melania Trump.
@POTUS &amp; @FLOTUS  are seen Tuesday, December 5, in…"
True,Tue Dec 12 22:25:20 +0000 2017,RT @VP: .@POTUS is keeping his promise to the American people to rebuild our military by signing the National Defense Authorization Act tod…
True,Thu Dec 14 21:04:48 +0000 2017,"RT @GOPLeader: Our unified Republican government has demonstrated clearly that America is committed to defending life, not destroying it. #…"
