is_retweet,created_at,text
True,Thu Dec 07 02:41:57 +0000 2017,RT @SecondLady: Honored to join @FLOTUS in Texas where we visited Charlie Marshall Elementary School--a school affected by #HurricaneHarvey…
False,Thu Dec 14 00:08:34 +0000 2017,"Met w/ 12-yr old Noeh from Iraq. ISIS destroyed his home &amp; he fled leaving everything behind. When they returned, t… https://t.co/73S2Bt1K79"
True,Mon Dec 18 22:42:50 +0000 2017,"RT @VPPressSec: Statement: @VP to delay trip to Egypt &amp; Israel until Jan, will stay to see tax reform thru —&gt; https://t.co/ZGWhGZG7Ij"
True,Thu Dec 07 16:18:44 +0000 2017,"RT @realDonaldTrump: Today, our entire nation pauses to REMEMBER PEARL HARBOR—and the brave warriors who on that day stood tall and fought…"
True,Thu Dec 14 22:17:10 +0000 2017,"RT @SecondLady: Our official Christmas portrait has been released! We took this photo on Saturday, December 9, at the Vice President's Resi…"
True,Wed Dec 13 01:24:53 +0000 2017,RT @SecondLady: Amazed by the courageous young patients and their families @RMHCofGreaterDC! Grateful for the opportunity to spend time wit…
True,Sun Dec 10 14:12:08 +0000 2017,RT @realDonaldTrump: Getting closer and closer on the Tax Cut Bill. Shaping up even better than projected. House and Senate working very ha…
True,Thu Dec 07 21:48:57 +0000 2017,"RT @realDonaldTrump: Across the battlefields, oceans, and harrowing skies of Europe and the Pacific throughout the war, one great battle cr…"
True,Thu Dec 07 18:04:52 +0000 2017,"RT @charlipence: When we first rescued Pickle 15 years ago, she had been neglected so she was scared and mean and… https://t.co/6lOwojkjCM"
False,Wed Dec 13 19:50:50 +0000 2017,".@POTUS &amp; I met with @OrrinHatch, @RepKevinBrady &amp; members of the Conference Committee working on the ‘Tax Cuts &amp; J… https://t.co/kp1L0j54Zx"
True,Wed Dec 13 20:08:11 +0000 2017,"RT @WhiteHouse: ""We want to give you the American People a giant tax cut for Christmas."""
False,Tue Dec 19 00:10:27 +0000 2017,"Today, @POTUS Trump took another crucial step to ensure the safety and security of our country far into the future… https://t.co/wSNJIBcKKn"
True,Sun Dec 17 13:01:19 +0000 2017,"RT @Scavino45: .@VP Mike Pence arrives at Camp David in Thurmont, Maryland a couple of hours ago. #USA🇺🇸 https://t.co/J0XAeRNZfO"
False,Wed Dec 13 21:59:50 +0000 2017,I'm confident that before Christmas @POTUS is going to sign historic legislation to CUT TAXES across the board for… https://t.co/8d0oFSzL14
True,Thu Dec 14 15:31:56 +0000 2017,RT @VPPressSec: Statement from the Office of the @VP --&gt; https://t.co/udvC8jZlDZ
True,Thu Dec 14 00:16:26 +0000 2017,"RT @WhiteHouse: Earlier today, President Trump and American taxpayers delivered remarks on tax reform. More: https://t.co/OxoMXawVrV https:…"
True,Sun Dec 10 19:40:50 +0000 2017,RT @VPPressSec: Statement from the office of the @VP regarding his upcoming trip to the Middle East —&gt; https://t.co/g6g4bxaqSr
False,Tue Dec 12 00:29:20 +0000 2017,"In the wake of today's failed attack, we commend NY law enforcement and stand with @POTUS against terrorism and ext… https://t.co/Dk1KQhndax"
True,Thu Dec 14 13:02:06 +0000 2017,"RT @realDonaldTrump: Republican Tax Cuts are looking very good. All are working hard. In the meantime, the Stock Market hit another record…"
True,Fri Dec 08 16:38:34 +0000 2017,"RT @SecretaryAcosta: Last month, the American economy added 228,000 jobs. Since January, the economy has added 1.7 million jobs. https://t.…"
False,Wed Dec 06 16:47:36 +0000 2017,"The people of California in the path of these wildfires are in our hearts, and we're praying for you and the heroic… https://t.co/ZjACaKgWkK"
False,Wed Dec 13 21:44:20 +0000 2017,"In today's TAX CUTS speech, @POTUS made clear: ""If Congress sends me a bill before Christmas, the IRS has confirmed… https://t.co/Ftpn80aLN2"
True,Tue Dec 19 00:59:38 +0000 2017,"RT @realDonaldTrump: Together, our task is to strengthen our families, to build up our communities, to serve our citizens, and to celebrate…"
True,Tue Dec 19 00:07:20 +0000 2017,"RT @realDonaldTrump: With the strategy that I announced today, we are declaring that AMERICA is in the game and AMERICA is DETERMINED to WI…"
True,Sun Dec 17 18:18:21 +0000 2017,"RT @realDonaldTrump: As a candidate, I promised we would pass a massive TAX CUT for the everyday working American families who are the back…"
False,Wed Dec 06 18:58:24 +0000 2017,.@POTUS Trump is a man of his word &amp; is committed to keep the promises he made to the American people. As the world… https://t.co/APusUF7jvG
False,Thu Dec 07 02:33:53 +0000 2017,Spoke at the 2017 Kemp Leadership Award Dinner about @POTUS' efforts to ensure a more safe &amp; secure America &amp; pass… https://t.co/uxwVkKsiwV
False,Tue Dec 12 20:28:28 +0000 2017,Getting closer to delivering the largest tax cut in American history by Christmas for hardworking U.S. families. Gr… https://t.co/hBffSivSf4
False,Tue Dec 12 18:59:52 +0000 2017,Important conversation w/ my great friend @GovHolcomb &amp; auto manufacturers w/ operations in Indiana re: @POTUS' com… https://t.co/1siSVjvDap
False,Tue Dec 12 20:12:13 +0000 2017,Great to speak to the Values Action Team on the Hill. It was an honor to join such an extraordinary group of leader… https://t.co/ckJ4xRVuEt
False,Mon Dec 18 19:02:11 +0000 2017,.@POTUS Trump will discuss his National Security Strategy to advance America’s interests. Watch live →… https://t.co/GNgeRk5tmZ
True,Tue Dec 12 23:27:40 +0000 2017,RT @SecondLady: Enjoyed spending time with children and their families @MedStarGUH today. Thank you to the wonderful staff for taking me ar…
True,Mon Dec 18 19:52:34 +0000 2017,"RT @SecondLady: As #Christmas approaches, we honor military service members and their families. We appreciate the sacrifices you make to pr…"
True,Thu Dec 07 01:45:35 +0000 2017,RT @WhiteHouse: President Trump's proclamation on Jerusalem as the capital of the State of Israel: https://t.co/67yWkkXLV4 https://t.co/q5d…
False,Thu Dec 07 00:27:51 +0000 2017,Speaking at the 2017 @kempfoundation Leadership Award Dinner about @POTUS' efforts to ensure America's safety &amp; sec… https://t.co/1uSUpx82kV
False,Mon Dec 18 20:06:48 +0000 2017,Our hearts break after hearing about the fatalities on board the train that derailed in Washington. Please keep the… https://t.co/xH2SmCgFdR
False,Thu Dec 07 15:35:19 +0000 2017,Today we remember the thousands who gave their lives in the attack on Pearl Harbor 76 years ago. We honor the lost… https://t.co/RlZJnXksC8
False,Mon Dec 18 19:33:19 +0000 2017,.@POTUS Trump has no higher priority than the safety and security of the American people – and since the outset of… https://t.co/Azm05RrzrX
True,Fri Dec 15 22:54:16 +0000 2017,"RT @realDonaldTrump: Today, it was my tremendous honor to visit Marine Helicopter Squadron One (HMX-1) at the Marine Corps Air Facility in…"
False,Tue Dec 12 21:18:24 +0000 2017,Briefed bipartisan group of California reps on the fed response to #CAwildfires. @POTUS approved an emergency decla… https://t.co/jyeUKpmrwO
False,Mon Dec 11 20:59:25 +0000 2017,"In pursuing the objectives of the National Space Council, @POTUS Trump’s actions will enhance our nat'l security, p… https://t.co/LunFfYstYW"
False,Fri Dec 15 16:17:53 +0000 2017,Congratulations to the most recent graduates of the @FBI National Academy. THANK YOU for your service to our nation… https://t.co/HfdY6oHbzF
False,Tue Dec 12 22:14:48 +0000 2017,"Tonight, Jews around the world will gather to light the first of eight #Hanukkah candles commemorating the fight fo… https://t.co/RRlzraBgtL"
