is_retweet,created_at,text
False,Wed Feb 28 14:34:03 +0000 2018,"Immigration and Customs Enforcement officials say Oakland, CA mayor put lives at risk: https://t.co/3w0M6GjeKE"
False,Tue Mar 06 20:38:16 +0000 2018,Tune in now: https://t.co/2Cwoq77hX7 https://t.co/joVSToQkhp
False,Fri Mar 09 21:52:04 +0000 2018,"Under President Trump’s leadership, manufacturing is booming 📈 https://t.co/KMCX8Wv3fH"
True,Wed Mar 07 20:40:35 +0000 2018,"RT @SecretaryZinke: Big day for @NatlParkService! Thanks to Senators Alexander, King, Daines, Capito, Gardner, Heinrich, Tillis &amp; Manchin f…"
True,Thu Mar 08 20:13:47 +0000 2018,RT @PressSec: #InternationalWomensDay https://t.co/qCLjh60Pxx
False,Thu Mar 08 21:13:02 +0000 2018,The decline of American steel and aluminum production has resulted in extensive job losses for hardworking American… https://t.co/hrFjAnW2Sj
True,Sat Mar 10 00:51:45 +0000 2018,"RT @realDonaldTrump: The deal with North Korea is very much in the making and will be, if completed, a very good one for the World. Time an…"
False,Mon Mar 05 17:31:01 +0000 2018,President Trump and the First Lady will host Israeli Prime Minister Netanyahu and Mrs. Netanyahu in Washington toda… https://t.co/KLQvX0Ijuf
False,Fri Mar 02 14:54:00 +0000 2018,The entire Trump Administration has mobilized to address the opioid crisis: https://t.co/4gK0XeH7c0 https://t.co/EF0P3WAOO1
False,Wed Mar 07 21:06:05 +0000 2018,The Tax Cuts and Jobs Act builds on the record-breaking economic successes already achieved under President Trump.… https://t.co/oT5JhwQHEB
False,Tue Feb 27 17:13:02 +0000 2018,President Trump and Vice President  Pence addressed nearly 80% of the Nation’s governors yesterday at a bipartisan… https://t.co/dnzLma452t
True,Thu Mar 08 18:47:04 +0000 2018,"RT @realDonaldTrump: Happy #InternationalWomensDay

“First Lady Melania Trump to Present the 2018 International Women of Courage Award” htt…"
False,Thu Mar 08 20:34:05 +0000 2018,President Trump is protecting American national security from the effects of unfair trade practices by protecting o… https://t.co/gXti1LJKrC
True,Wed Feb 28 17:11:42 +0000 2018,"RT @realDonaldTrump: Today, in the center of this great Chamber lies Billy Graham – an Ambassador for Christ who reminded the world of the…"
False,Thu Mar 01 16:56:06 +0000 2018,How we will win the war on opioids: https://t.co/4gK0XeYIAA https://t.co/L2wnasmE2u
False,Tue Mar 06 20:24:03 +0000 2018,Unaccompanied alien children and family units are flooding the border because of catch and release loopholes. This… https://t.co/MCChDWOQIx
True,Fri Mar 09 18:03:37 +0000 2018,RT @Scavino45: “This Year Marks the Strongest Average Monthly Job Growth in Over Two Decades” https://t.co/czlv49gLL8
False,Wed Mar 07 19:53:00 +0000 2018,Fire Chief Daniel Goonan and others are saving lives. More on how we will win the war on opioids:… https://t.co/1a6ra86erO
False,Thu Mar 08 15:36:03 +0000 2018,"Happy #InternationalWomensDay! Today we recognize, honor, and celebrate women around the world. https://t.co/gsONDiXYO5"
True,Thu Mar 08 23:55:59 +0000 2018,RT @FLOTUS: Heartened to see children affected by tragedy using their voices to try and create change. Wonderful to meet and speak with Sto…
False,Sun Mar 04 17:41:04 +0000 2018,"The DEA held two of its National Prescription Drug Take Back Days last year, giving people the opportunity to dispo… https://t.co/ErwuxBfhjc"
False,Fri Mar 02 21:21:00 +0000 2018,The @DeptVetAffairs has reduced the number of opioids used by 41% through a reduction in the start of new opioids a… https://t.co/DO2WFJkpTH
True,Wed Feb 28 15:12:42 +0000 2018,RT @Scavino45: Acting @ICEgov director to Oakland mayor @LibbySchaaf: ‘We're not going away' https://t.co/3KL0W16SE2
False,Wed Mar 07 16:58:18 +0000 2018,Watch LIVE as President Trump delivers remarks at the Latino Coalition Legislative Summit: https://t.co/hzhkhs0xYV https://t.co/qsylR1sx4r
False,Fri Mar 09 19:08:00 +0000 2018,"""Our factories were left to rot and to rust all over the place. Thriving communities turned into ghost towns... Not… https://t.co/T4gJvehnd0"
False,Thu Mar 01 18:23:04 +0000 2018,President Trump’s Administration has taken action to provide more treatment and recovery options for those struggli… https://t.co/WrHPR3Rm3G
True,Thu Mar 01 14:15:41 +0000 2018,"RT @FLOTUS: March starts #WomensHistoryMonth, a time to celebrate the ways American women have historically changed &amp; continue to shape our…"
True,Thu Mar 08 15:23:14 +0000 2018,"RT @FLOTUS: Happy #IWD2018.  Today we recognize, celebrate &amp; honor women around the globe.  On March 21, I will be at the @StateDept to pre…"
