created_at,is_retweet,text,tweet_id
Fri Dec 08 15:02:08 +0000 2017,True,RT @IvankaTrump: The Hispanic unemployment rate dropped to 4.7% - the LOWEST in the history of the United States. This Administration and @…,Pre-Update
Sat Dec 16 21:57:19 +0000 2017,False,Honored to host the selfless and dedicated men &amp; women of the @SecretService for a Christmas party this afternoon.… https://t.co/T4CBDnZaTk,Pre-Update
Thu Dec 07 21:35:31 +0000 2017,False,Great meeting with @DeptofDefense Secretary Mattis at the Pentagon &amp; enjoyed seeing members of the @NavalAcademy Ba… https://t.co/fmY8KQ61SK,Pre-Update
Thu Dec 07 02:41:57 +0000 2017,True,RT @SecondLady: Honored to join @FLOTUS in Texas where we visited Charlie Marshall Elementary School--a school affected by #HurricaneHarvey…,Pre-Update
Thu Dec 14 00:08:34 +0000 2017,False,"Met w/ 12-yr old Noeh from Iraq. ISIS destroyed his home &amp; he fled leaving everything behind. When they returned, t… https://t.co/73S2Bt1K79",Pre-Update
Mon Dec 18 22:42:50 +0000 2017,True,"RT @VPPressSec: Statement: @VP to delay trip to Egypt &amp; Israel until Jan, will stay to see tax reform thru —&gt; https://t.co/ZGWhGZG7Ij",Pre-Update
Thu Dec 07 16:18:44 +0000 2017,True,"RT @realDonaldTrump: Today, our entire nation pauses to REMEMBER PEARL HARBOR—and the brave warriors who on that day stood tall and fought…",Pre-Update
Thu Dec 14 22:17:10 +0000 2017,True,"RT @SecondLady: Our official Christmas portrait has been released! We took this photo on Saturday, December 9, at the Vice President's Resi…",Pre-Update
Wed Dec 13 01:24:53 +0000 2017,True,RT @SecondLady: Amazed by the courageous young patients and their families @RMHCofGreaterDC! Grateful for the opportunity to spend time wit…,Pre-Update
Sun Dec 10 14:12:08 +0000 2017,True,RT @realDonaldTrump: Getting closer and closer on the Tax Cut Bill. Shaping up even better than projected. House and Senate working very ha…,Pre-Update
Thu Dec 07 21:48:57 +0000 2017,True,"RT @realDonaldTrump: Across the battlefields, oceans, and harrowing skies of Europe and the Pacific throughout the war, one great battle cr…",Pre-Update
Thu Dec 07 18:04:52 +0000 2017,True,"RT @charlipence: When we first rescued Pickle 15 years ago, she had been neglected so she was scared and mean and… https://t.co/6lOwojkjCM",Pre-Update
Wed Dec 13 19:50:50 +0000 2017,False,".@POTUS &amp; I met with @OrrinHatch, @RepKevinBrady &amp; members of the Conference Committee working on the ‘Tax Cuts &amp; J… https://t.co/kp1L0j54Zx",Pre-Update
Wed Dec 13 20:08:11 +0000 2017,True,"RT @WhiteHouse: ""We want to give you the American People a giant tax cut for Christmas.""",Pre-Update
Tue Dec 19 00:10:27 +0000 2017,False,"Today, @POTUS Trump took another crucial step to ensure the safety and security of our country far into the future… https://t.co/wSNJIBcKKn",Pre-Update
Sun Dec 17 13:01:19 +0000 2017,True,"RT @Scavino45: .@VP Mike Pence arrives at Camp David in Thurmont, Maryland a couple of hours ago. #USA🇺🇸 https://t.co/J0XAeRNZfO",Pre-Update
Wed Dec 13 21:59:50 +0000 2017,False,I'm confident that before Christmas @POTUS is going to sign historic legislation to CUT TAXES across the board for… https://t.co/8d0oFSzL14,Pre-Update
Thu Dec 14 15:31:56 +0000 2017,True,RT @VPPressSec: Statement from the Office of the @VP --&gt; https://t.co/udvC8jZlDZ,Pre-Update
Thu Dec 14 00:16:26 +0000 2017,True,"RT @WhiteHouse: Earlier today, President Trump and American taxpayers delivered remarks on tax reform. More: https://t.co/OxoMXawVrV https:…",Pre-Update
Sun Dec 10 19:40:50 +0000 2017,True,RT @VPPressSec: Statement from the office of the @VP regarding his upcoming trip to the Middle East —&gt; https://t.co/g6g4bxaqSr,Pre-Update
Tue Dec 12 00:29:20 +0000 2017,False,"In the wake of today's failed attack, we commend NY law enforcement and stand with @POTUS against terrorism and ext… https://t.co/Dk1KQhndax",Pre-Update
Thu Dec 14 13:02:06 +0000 2017,True,"RT @realDonaldTrump: Republican Tax Cuts are looking very good. All are working hard. In the meantime, the Stock Market hit another record…",Pre-Update
Fri Dec 08 16:38:34 +0000 2017,True,"RT @SecretaryAcosta: Last month, the American economy added 228,000 jobs. Since January, the economy has added 1.7 million jobs. https://t.…",Pre-Update
Wed Dec 06 16:47:36 +0000 2017,False,"The people of California in the path of these wildfires are in our hearts, and we're praying for you and the heroic… https://t.co/ZjACaKgWkK",Pre-Update
Wed Dec 13 21:44:20 +0000 2017,False,"In today's TAX CUTS speech, @POTUS made clear: ""If Congress sends me a bill before Christmas, the IRS has confirmed… https://t.co/Ftpn80aLN2",Pre-Update
Tue Dec 19 00:59:38 +0000 2017,True,"RT @realDonaldTrump: Together, our task is to strengthen our families, to build up our communities, to serve our citizens, and to celebrate…",Pre-Update
Tue Dec 19 00:07:20 +0000 2017,True,"RT @realDonaldTrump: With the strategy that I announced today, we are declaring that AMERICA is in the game and AMERICA is DETERMINED to WI…",Pre-Update
Sun Dec 17 18:18:21 +0000 2017,True,"RT @realDonaldTrump: As a candidate, I promised we would pass a massive TAX CUT for the everyday working American families who are the back…",Pre-Update
Wed Dec 06 18:58:24 +0000 2017,False,.@POTUS Trump is a man of his word &amp; is committed to keep the promises he made to the American people. As the world… https://t.co/APusUF7jvG,Pre-Update
Thu Dec 07 02:33:53 +0000 2017,False,Spoke at the 2017 Kemp Leadership Award Dinner about @POTUS' efforts to ensure a more safe &amp; secure America &amp; pass… https://t.co/uxwVkKsiwV,Pre-Update
Tue Dec 12 20:28:28 +0000 2017,False,Getting closer to delivering the largest tax cut in American history by Christmas for hardworking U.S. families. Gr… https://t.co/hBffSivSf4,Pre-Update
