is_retweet,created_at,text
False,Tue Jan 16 14:07:38 +0000 2018,The Democrats want to shut down the Government over Amnesty for all and Border Security. The biggest loser will be… https://t.co/Kv8aUAd3gD
True,Tue Jan 16 00:52:48 +0000 2018,RT @realDonaldTrump: ...big unnecessary regulation cuts made it all possible” (among many other things). “President Trump reversed the poli…
False,Mon Jan 08 03:24:23 +0000 2018,"...Clinton in the WH, doubling down on Barack Obama’s failed policies, washes away any doubts that America made the… https://t.co/e3TjsBYrtb"
False,Fri Jan 12 03:01:20 +0000 2018,Democrat Dianne Feinstein should never have released secret committee testimony to the public without authorization… https://t.co/02erkjcPHU
False,Fri Jan 05 03:52:53 +0000 2018,I authorized Zero access to White House (actually turned him down many times) for author of phony book! I never spo… https://t.co/G8tBCceHUy
False,Fri Jan 05 04:04:20 +0000 2018,The Fake News Media barely mentions the fact that the Stock Market just hit another New Record and that business in… https://t.co/skkiYt1Qj2
False,Tue Jan 16 14:30:00 +0000 2018,Unemployment for Black Americans is the lowest ever recorded. Trump approval ratings with Black Americans has doubl… https://t.co/T5tmchLiz8
True,Tue Jan 16 00:50:19 +0000 2018,"RT @EricTrump: I will be always be incredibly proud of my work for @StJude, raising $16.3+ million dollars over the last 10 years at a 9.2%…"
False,Fri Jan 12 17:56:18 +0000 2018,"Today, it was my great honor to proclaim January 15, 2018, as Martin Luther King Jr., Federal Holiday. I encourage… https://t.co/HMoyGfAZLJ"
False,Fri Jan 12 12:09:58 +0000 2018,....countries which are doing badly. I want a merit based system of immigration and people who will help take our c… https://t.co/QfbeeEN6qP
False,Sun Jan 14 13:01:44 +0000 2018,...and they knew exactly what I said and meant. They just wanted a story. FAKE NEWS!
False,Sat Jan 06 12:19:10 +0000 2018,"Now that Russian collusion, after one year of intense study, has proven to be a total hoax on the American public,… https://t.co/3RTHPrrh6n"
True,Sun Jan 14 03:45:45 +0000 2018,"RT @JackPosobiec: Dick Durbin called Trump racist for wanting to end chain migration. 

Here's a video of Dick Durbin calling for an end to…"
False,Fri Jan 12 12:50:00 +0000 2018,"Sadly, Democrats want to stop paying our troops and government workers in order to give a sweetheart deal, not a fa… https://t.co/jivCaE5vpb"
False,Wed Jan 10 15:14:15 +0000 2018,"The single greatest Witch Hunt in American history continues. There was no collusion, everybody including the Dems… https://t.co/j7rc1QKCLw"
True,Sun Jan 14 13:04:18 +0000 2018,"RT @realDonaldTrump: So much Fake News is being reported. They don’t even try to get it right, or correct it when they are wrong. They prom…"
False,Tue Jan 16 23:19:39 +0000 2018,New report from DOJ &amp; DHS shows that nearly 3 in 4 individuals convicted of terrorism-related charges are foreign-b… https://t.co/9F2yHphpOi
True,Tue Jan 09 23:59:38 +0000 2018,"RT @Scavino45: “Utilities cutting rates, cite benefits of Trump tax reform” https://t.co/u19JMs4Bsr"
False,Thu Jan 11 15:37:54 +0000 2018,"Great news, as a result of our TAX CUTS &amp; JOBS ACT! https://t.co/SLvhLxP3Jl"
True,Tue Jan 16 00:53:38 +0000 2018,"RT @realDonaldTrump: DACA is probably dead because the Democrats don’t really want it, they just want to talk and take desperately needed m…"
False,Wed Jan 10 00:16:57 +0000 2018,"As I made very clear today, our country needs the security of the Wall on the Southern Border, which must be part of any DACA approval."
False,Fri Jan 12 04:42:25 +0000 2018,"The Democrats seem intent on having people and drugs pour into our country from the Southern Border, risking thousa… https://t.co/D0kxlMJhLq"
False,Tue Jan 16 19:43:32 +0000 2018,"“President Donald J. Trump Proclaims January 16, 2018, as Religious Freedom Day” https://t.co/bD3R2dJfyp"
False,Sat Jan 13 13:14:20 +0000 2018,AMERICA FIRST!
False,Sun Jan 07 14:40:06 +0000 2018,I’ve had to put up with the Fake News from the first day I announced that I would be running for President. Now I h… https://t.co/Y5wqMu8WzA
False,Fri Jan 05 15:34:28 +0000 2018,The Mercer Family recently dumped the leaker known as Sloppy Steve Bannon. Smart!
False,Fri Jan 05 11:35:30 +0000 2018,"Dow goes from 18,589 on November 9, 2016, to 25,075 today, for a new all-time Record. Jumped 1000 points in last 5… https://t.co/16TbOsy4Ri"
False,Wed Jan 10 20:08:37 +0000 2018,I want to thank my @Cabinet for working tirelessly on behalf of our country. 2017 was a year of monumental achievem… https://t.co/XgDJxgWCnx
